Text,URLs,Label,KO LABEL,WITH UNCERTAIN
RT AnnaApp91838450 Any Dam Republican Senator That Doesn t Stand With President Trump Should Step Down Every D,http://www.breitbart.com/big-government/2018/06/19/the-list-here-are-the-republican-senators-demanding-trump-end-all-border-enforcement/amp/?__twitter_impression=true,center,R,R
RT benshapiro Identity politics ruse. Leftism game.,http://www.dailywire.com/news/17420/lgbt-protesters-turn-gay-pride-parade-anti-trump-ben-shapiro,right,R,R
Harvard Law s Laurence Tribe tells CNN viewers impeach President Trump You shoot kill,http://www.foxnews.com/entertainment/2018/05/22/harvard-laws-laurence-tribe-tells-cnn-viewers-how-to-impeach-president-trump-have-to-shoot-to-kill.html,center,R,R
Anne Hathaway calls white privilege wake black woman stabbed death BART station,http://www.foxnews.com/entertainment/2018/07/26/anne-hathaway-calls-out-white-privilege-in-wake-black-woman-stabbed-to-death-at-bart-station.html,center,R,R
Eric Church says NRA blame Las Vegas festival mass shooting,http://www.foxnews.com/entertainment/2018/07/26/eric-church-says-nra-is-to-blame-for-las-vegas-festival-mass-shooting.html,center,R,R
Trump supporter says took beating protesting Social Distortion singer s politics,http://www.foxnews.com/entertainment/2018/08/16/trump-supporter-says-took-beating-after-protesting-social-distortion-singers-politics.html,right,R,R
Newt Gingrich Democrats latest election strategy They aim win allowing non citizens vote,http://www.foxnews.com/opinion/2018/07/25/newt-gingrich-democrats-latest-election-strategy-aim-to-win-by-allowing-non-citizens-to-vote.html,right,R,U
Trump beat Hillary year ago left t let s harming country,http://www.foxnews.com/opinion/2018/07/25/trump-beat-hillary-more-than-year-ago-but-left-cant-let-it-go-and-its-harming-our-country.html,right,R,R
Marc Thiessen The Clinton campaign sought dirt Trump Russian officials Where s outrage,http://www.foxnews.com/opinion/2018/08/03/marc-thiessen-clinton-campaign-sought-dirt-on-trump-from-russian-officials-wheres-outrage.html,center,R,R
RT FoxNews . newtgingrich The Trump Republican Party arising political revolution,http://www.foxnews.com/opinion/2018/08/11/newt-gingrich-trump-republican-party-is-arising-out-political-revolution.html,right,R,R
